
> node-web@0.0.0 start /home/inigo/workspace/Web/web_fin_grado
> node ./bin/www

[ '1505720261', '19.75000000000000000000' ]
[ '1505720265', '19.75000000000000000000' ]
[ '1509220975', '35.25000000000000000000' ]
[ '1505720245', '20.00000000000000000000' ]
[ '1505720247', '20.00000000000000000000' ]
[ '1505720256', '20.00000000000000000000' ]
[ '1509220550', '37.25000000000000000000' ]
[ '1509220978', '35.25000000000000000000' ]
[ '1509221005', '35.00000000000000000000' ]
[ '1509220961', '35.25000000000000000000' ]
[ '1509221048', '34.75000000000000000000' ]
[ '1509221044', '34.75000000000000000000' ]
[ '1509221016', '35.00000000000000000000' ]
[ '1509221019', '35.00000000000000000000' ]
[ '1509221032', '35.00000000000000000000' ]
[ '1509221119', '34.50000000000000000000' ]
[ '1509221062', '34.75000000000000000000' ]
[ '1509221067', '34.75000000000000000000' ]
[ '1509221069', '34.75000000000000000000' ]
[ '1509221222', '34.25000000000000000000' ]
[ '1509221129', '34.50000000000000000000' ]
[ '1509221260', '34.25000000000000000000' ]
[ '1509221274', '34.25000000000000000000' ]
[ '1509221124', '34.50000000000000000000' ]
[ '1509221213', '34.25000000000000000000' ]
[ '1509221176', '34.50000000000000000000' ]
[ '1509221197', '34.50000000000000000000' ]
[ '1509221167', '34.50000000000000000000' ]
[ '1509221311', '34.00000000000000000000' ]
[ '1509221371', '33.75000000000000000000' ]
[ '1509221380', '33.75000000000000000000' ]
[ '1509221384', '33.75000000000000000000' ]
[ '1509221389', '33.75000000000000000000' ]
[ '1509221292', '34.00000000000000000000' ]
[ '1509221364', '33.75000000000000000000' ]
[ '1509221332', '34.00000000000000000000' ]
[ '1509221341', '34.00000000000000000000' ]
[ '1509221497', '33.25000000000000000000' ]
[ '1509221502', '33.25000000000000000000' ]
[ '1509221481', '33.25000000000000000000' ]
[ '1509221486', '33.25000000000000000000' ]
[ '1509221488', '33.25000000000000000000' ]
[ '1509221495', '33.25000000000000000000' ]
[ '1509221437', '33.50000000000000000000' ]
[ '1509221458', '33.50000000000000000000' ]
[ '1509221467', '33.50000000000000000000' ]
[ '1509221536', '33.25000000000000000000' ]
[ '1509221543', '33.25000000000000000000' ]
[ '1509221551', '33.25000000000000000000' ]
[ '1509221562', '33.25000000000000000000' ]
[ '1509221513', '33.25000000000000000000' ]
[ '1509221522', '33.25000000000000000000' ]
[ '1509221574', '33.00000000000000000000' ]
[ '1509221587', '33.00000000000000000000' ]
[ '1509221506', '33.25000000000000000000' ]
[ '1509221702', '32.75000000000000000000' ]
[ '1509221654', '32.75000000000000000000' ]
[ '1509221663', '32.75000000000000000000' ]
[ '1509221665', '32.75000000000000000000' ]
[ '1509221668', '32.75000000000000000000' ]
[ '1509221635', '33.00000000000000000000' ]
[ '1509221697', '32.75000000000000000000' ]
[ '1509221615', '33.00000000000000000000' ]
[ '1509221631', '33.00000000000000000000' ]
[ '1509221726', '32.75000000000000000000' ]
[ '1509221742', '32.75000000000000000000' ]
[ '1509221714', '32.75000000000000000000' ]
[ '1509221717', '32.75000000000000000000' ]
[ '1509221719', '32.75000000000000000000' ]
[ '1509221723', '32.75000000000000000000' ]
[ '1509221773', '32.75000000000000000000' ]
[ '1509221761', '32.75000000000000000000' ]
[ '1509221752', '32.75000000000000000000' ]
[ '1509221798', '32.50000000000000000000' ]
[ '1509221805', '32.50000000000000000000' ]
[ '1509221812', '32.50000000000000000000' ]
[ '1509221814', '32.50000000000000000000' ]
[ '1509221823', '32.50000000000000000000' ]
[ '1509221835', '32.50000000000000000000' ]
[ '1509221844', '32.50000000000000000000' ]
[ '1509221849', '32.50000000000000000000' ]
